Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
192008,-0.1466
192009,-0.2209
192010,-0.3110
192011,-0.4865
192012,-0.9391
192101,0.3699
192102,-0.0512
192103,-0.1080
192104,-0.0032
192105,0.0959
192106,0.0309
192107,0.0556
192108,-0.2718
192109,-0.2104
192110,-0.0897
192111,-0.3894
192112,0.0426
192201,-0.6791
192202,-0.6456
192203,-0.0207
192204,-0.0052
192205,-0.1547
192206,-0.1927
192207,-0.1461
192208,-0.2371
192209,-0.1743
192210,-0.2732
192211,-0.0900
192212,-0.0313
192301,-0.0777
192302,-0.6273
192303,-0.3116
192304,-0.6593
192305,-0.3667
192306,-0.1049
192307,-0.3031
192308,-0.2193
192309,-0.1446
192310,0.0508
192311,0.3359
192312,0.1474
192401,-0.5998
192402,-0.2690
192403,-0.0937
192404,-0.4756
192405,-0.3499
192406,-0.1738
192407,-0.0703
192408,-0.1842
192409,-0.1187
192410,-0.1578
192411,0.0739
192412,-0.3922
192501,-0.3749
192502,-0.3084
192503,0.0009
192504,0.0625
192505,-0.2339
192506,-0.3175
192507,-0.3206
192508,-0.0326
192509,-0.0440
192510,-0.1957
192511,0.2596
192512,0.4927
192601,0.6755
192602,0.5220
192603,0.4481
192604,-0.3043
192605,-0.2929
192606,-0.1453
192607,-0.2538
192608,-0.0825
192609,-0.0808
192610,0.0660
192611,0.0650
192612,-0.3814
192701,-0.3066
192702,-0.2387
192703,-0.3926
192704,-0.2995
192705,-0.2952
192706,-0.1372
192707,0.0597
192708,-0.0998
192709,0.2360
192710,0.3982
192711,0.0870
192712,-0.7422
192801,0.0916
192802,-0.0083
192803,-0.4575
192804,-0.3512
192805,-0.0934
192806,-0.3148
192807,-0.1047
192808,-0.1229
192809,-0.1029
192810,0.0751
192811,0.2839
192812,0.0505
192901,-0.9955
192902,-1.2212
192903,-0.1231
192904,-0.2924
192905,-0.2622
192906,-0.2471
192907,-0.3178
192908,-0.1176
192909,-0.1882
192910,0.0860
192911,0.1019
192912,-1.2827
193001,-0.5626
193002,-0.1766
193003,0.3182
193004,-0.2452
193005,-0.2512
193006,-0.0735
193007,0.0785
193008,0.0041
193009,-0.2745
193010,-0.0632
193011,0.3671
193012,0.0496
193101,-0.0909
193102,-0.6683
193103,0.0148
193104,-0.3155
193105,-0.2829
193106,0.0965
193107,0.1747
193108,0.1246
193109,0.2137
193110,0.3812
193111,-0.0147
193112,0.0539
193201,0.9010
193202,-0.4222
193203,-0.4143
193204,0.2921
193205,-0.1376
193206,-0.1039
193207,0.1200
193208,-0.0962
193209,0.1915
193210,0.1779
193211,-0.2642
193212,-0.2709
193301,-0.6780
193302,-0.7340
193303,-0.4246
193304,-0.3398
193305,-0.2445
193306,-0.1712
193307,-0.0821
193308,-0.0889
193309,-0.1890
193310,-0.0346
193311,-0.1708
193312,-0.7584
193401,-0.3923
193402,0.6096
193403,-0.3186
193404,-0.3801
193405,0.2874
193406,0.0462
193407,-0.0719
193408,-0.0323
193409,-0.3149
193410,0.0156
193411,0.2737
193412,0.1683
193501,-0.5852
193502,1.0124
193503,0.0233
193504,-0.5507
193505,-0.3420
193506,-0.1784
193507,0.0244
193508,-0.0062
193509,0.0160
193510,0.1695
193511,-0.7507
193512,-0.4063
193601,-0.5603
193602,-0.8386
193603,-0.3485
193604,-0.3070
193605,-0.0265
193606,0.0011
193607,0.3159
193608,0.0537
193609,0.0175
193610,0.0812
193611,0.1432
193612,0.1936
193701,-0.4564
193702,0.2073
193703,-0.5448
193704,-0.3167
193705,0.0973
193706,0.1817
193707,-0.0112
193708,0.1896
193709,0.2612
193710,0.3359
193711,0.0228
193712,-0.2707
193801,0.0835
193802,0.0447
193803,0.4004
193804,0.4603
193805,0.1699
193806,-0.0825
193807,0.1041
193808,0.1624
193809,0.3482
193810,0.3872
193811,0.3773
193812,-0.3699
193901,0.1366
193902,0.0603
193903,-0.3830
193904,-0.1845
193905,0.1690
193906,0.1174
193907,0.0862
193908,0.1534
193909,-0.0673
193910,-0.2279
193911,0.0716
193912,1.1979
194001,-0.5555
194002,0.0825
194003,0.1461
194004,0.1988
194005,-0.1421
194006,0.1410
194007,0.2056
194008,-0.0056
194009,0.2193
194010,-0.0104
194011,-0.0921
194012,0.3967
194101,-0.0002
194102,0.2583
194103,-0.0603
194104,0.2205
194105,0.1798
194106,0.1751
194107,0.2546
194108,0.1977
194109,-0.1444
194110,0.3169
194111,-0.1025
194112,-0.0563
194201,0.3527
194202,-0.3434
194203,0.0127
194204,0.0030
194205,-0.0204
194206,0.1814
194207,-0.0757
194208,-0.0834
194209,0.1292
194210,0.2020
194211,0.3122
194212,0.1512
194301,-0.4029
194302,0.2702
194303,-0.1197
194304,0.2194
194305,0.1873
194306,-0.2961
194307,0.0675
194308,-0.0898
194309,0.0342
194310,0.4163
194311,0.1755
194312,0.6528
194401,0.7736
194402,0.3781
194403,0.3856
194404,0.0097
194405,0.1285
194406,0.1845
194407,0.1858
194408,0.1300
194409,0.4502
194410,0.3708
194411,-0.0561
194412,-0.3521
194501,-0.2117
194502,-0.7063
194503,-0.1583
194504,0.2357
194505,-0.1204
194506,-0.0431
194507,-0.1069
194508,0.3752
194509,0.1435
194510,0.2298
194511,0.0139
194512,-0.5696
194601,0.3408
194602,0.2551
194603,-0.0960
194604,0.4058
194605,-0.0637
194606,-0.2447
194607,-0.0310
194608,-0.0365
194609,-0.0440
194610,-0.0291
194611,0.1019
194612,-0.6846
194701,-0.3101
194702,-0.0884
194703,0.3327
194704,0.2256
194705,0.0356
194706,0.0392
194707,-0.0228
194708,-0.0489
194709,0.0201
194710,0.5078
194711,0.1886
194712,-0.1428
194801,0.5511
194802,-0.0926
194803,-0.3929
194804,0.0287
194805,0.2550
194806,0.0883
194807,0.0237
194808,0.0228
194809,0.0346
194810,0.1188
194811,0.0889
194812,-0.1992
194901,0.4816
194902,-0.4410
194903,-0.1672
194904,0.0616
194905,0.1192
194906,-0.2215
194907,-0.1403
194908,0.0224
194909,-0.1470
194910,0.0603
194911,0.1140
194912,-0.3686
195001,-0.7867
195002,-0.5315
195003,-0.0810
195004,-0.2943
195005,-0.0141
195006,-0.1205
195007,-0.3139
195008,-0.3944
195009,-0.1822
195010,-0.2828
195011,-0.8958
195012,-0.1942
195101,-0.6175
195102,-1.0569
195103,-0.3238
195104,-0.1057
195105,0.1764
195106,-0.0756
195107,0.0597
195108,0.0873
195109,0.2540
195110,0.1472
195111,-0.0260
195112,0.5784
195201,0.3017
195202,-0.0137
195203,-0.4058
195204,0.0119
195205,0.0111
195206,0.0051
195207,0.1512
195208,0.0131
195209,0.0838
195210,-0.2815
195211,-0.7591
195212,-0.1641
195301,0.2389
195302,0.3626
195303,0.4284
195304,0.3048
195305,0.1836
195306,0.1393
195307,0.0172
195308,0.1004
195309,0.0882
195310,0.1516
195311,-0.2596
195312,0.2596
195401,-0.7070
195402,-0.2864
195403,-0.2816
195404,-0.3112
195405,-0.4104
195406,-0.1031
195407,-0.1176
195408,0.0052
195409,0.0250
195410,0.0651
195411,0.4009
195412,-0.2645
195501,0.6226
195502,-0.0945
195503,-0.7652
195504,-0.4303
195505,-0.0810
195506,0.0167
195507,-0.1926
195508,0.1044
195509,-0.0328
195510,0.0560
195511,-0.3186
195512,-0.4660
195601,-0.4458
195602,-0.6612
195603,-0.4482
195604,-0.5385
195605,-0.4173
195606,-0.2187
195607,-0.2633
195608,-0.3940
195609,-0.4749
195610,-0.4316
195611,-0.3935
195612,-0.4011
195701,-0.3200
195702,-0.4295
195703,-0.3772
195704,-0.2891
195705,-0.0581
195706,0.1167
195707,-0.2143
195708,0.0185
195709,0.0641
195710,-0.0663
195711,0.2077
195712,0.6398
195801,0.7255
195802,0.3607
195803,0.0764
195804,0.1163
195805,0.1531
195806,-0.1050
195807,-0.0012
195808,-0.0627
195809,-0.2028
195810,-0.0704
195811,0.1852
195812,0.2558
195901,0.1971
195902,0.0161
195903,0.5234
195904,0.2195
195905,-0.0978
195906,0.1958
195907,0.0888
195908,0.0142
195909,0.0970
195910,-0.2171
195911,-0.3493
195912,-0.1072
196001,-0.0160
196002,0.6456
196003,-0.7862
196004,-0.2688
196005,-0.4475
196006,0.1231
196007,-0.1138
196008,-0.0231
196009,0.0290
196010,-0.0156
196011,-0.2653
196012,0.6053
196101,0.2817
196102,0.3704
196103,0.3875
196104,0.1535
196105,0.2132
196106,0.2049
196107,-0.0002
196108,0.0067
196109,-0.0145
196110,-0.2401
196111,0.0117
196112,-0.1676
196201,0.3822
196202,0.4963
196203,0.2771
196204,0.1687
196205,0.0289
196206,-0.0984
196207,-0.0075
196208,-0.0303
196209,-0.0100
196210,0.1410
196211,0.2000
196212,0.3190
196301,0.1629
196302,0.8996
196303,-0.0340
196304,-0.1999
196305,-0.1560
196306,-0.0540
196307,0.2006
196308,0.2112
196309,0.3117
196310,0.5776
196311,0.4256
196312,0.0812
196401,0.1338
196402,-0.3432
196403,-0.3318
196404,-0.3746
196405,-0.0983
196406,-0.1396
196407,-0.1554
196408,-0.2106
196409,-0.3286
196410,-0.5275
196411,-0.1624
196412,-0.3689
196501,0.1215
196502,-0.4199
196503,-0.0929
196504,-0.3910
196505,-0.0565
196506,-0.0511
196507,-0.1490
196508,-0.1630
196509,-0.1954
196510,0.1263
196511,-0.3028
196512,-0.0224
196601,-0.1533
196602,-0.1146
196603,0.0696
196604,-0.3127
196605,-0.0250
196606,0.1789
196607,0.1578
196608,0.0632
196609,0.0938
196610,-0.1628
196611,-0.1978
196612,-0.4930
196701,-0.2437
196702,-0.4129
196703,0.0777
196704,0.1362
196705,0.3175
196706,-0.1905
196707,-0.1254
196708,-0.1505
196709,-0.1343
196710,0.4988
196711,0.0727
196712,0.0876
196801,-0.3527
196802,-0.0808
196803,0.8837
196804,-0.0454
196805,-0.2210
196806,-0.2027
196807,-0.1722
196808,-0.1809
196809,-0.2296
196810,-0.1278
196811,-0.2003
196812,-0.5081
196901,-1.0999
196902,-0.9602
196903,-0.1036
196904,0.0836
196905,0.0015
196906,-0.0500
196907,0.0871
196908,-0.0176
196909,-0.0873
196910,-0.0322
196911,0.3909
196912,0.4762
197001,0.0154
197002,0.5369
197003,-0.1846
197004,0.1873
197005,-0.0072
197006,0.1293
197007,0.0532
197008,-0.0507
197009,-0.0197
197010,-0.2311
197011,-0.0176
197012,-0.2364
197101,0.0843
197102,-0.4174
197103,-0.1771
197104,-0.1969
197105,-0.0951
197106,-0.1766
197107,-0.1078
197108,-0.0912
197109,0.0746
197110,-0.0188
197111,0.3917
197112,0.2131
197201,-0.8964
197202,-0.7560
197203,-0.0315
197204,-0.0099
197205,-0.0789
197206,0.0615
197207,-0.0997
197208,0.0199
197209,-0.2244
197210,-0.0711
197211,-0.2257
197212,0.1593
197301,0.2567
197302,0.7200
197303,0.7062
197304,0.4453
197305,0.3263
197306,0.4280
197307,0.1712
197308,0.0895
197309,0.0224
197310,0.0804
197311,-0.0116
197312,0.2733
197401,-0.6368
197402,-0.7212
197403,0.0498
197404,0.0661
197405,-0.0703
197406,-0.1034
197407,0.0338
197408,-0.1190
197409,-0.1993
197410,-0.3322
197411,-0.2184
197412,-0.3422
197501,0.3631
197502,0.0472
197503,0.3785
197504,0.2836
197505,0.2394
197506,0.1869
197507,0.0807
197508,-0.1126
197509,0.1861
197510,-0.1447
197511,-0.1364
197512,0.0945
197601,0.2506
197602,-0.2204
197603,-0.6894
197604,0.0863
197605,-0.1884
197606,-0.2489
197607,-0.2448
197608,-0.2570
197609,-0.0664
197610,-0.8238
197611,-0.4510
197612,-0.1838
197701,-0.5435
197702,0.2483
197703,0.5814
197704,0.5532
197705,0.3837
197706,0.3947
197707,0.1620
197708,0.0203
197709,0.1371
197710,-0.0725
197711,0.5504
197712,0.0342
197801,0.1143
197802,0.1096
197803,0.4545
197804,0.2701
197805,0.0056
197806,-0.0954
197807,-0.0804
197808,-0.2541
197809,-0.0038
197810,0.0384
197811,0.3748
197812,0.0254
197901,-0.0761
197902,-0.1669
197903,0.2705
197904,-0.2203
197905,0.0625
197906,0.1182
197907,0.0437
197908,0.1275
197909,0.1554
197910,0.3106
197911,0.2258
197912,0.9263
198001,0.1585
198002,0.3734
198003,-0.0249
198004,0.4223
198005,0.4097
198006,0.2369
198007,0.1797
198008,0.1671
198009,0.1632
198010,0.2031
198011,0.6415
198012,0.3322
198101,1.0893
198102,0.8113
198103,0.8721
198104,0.7103
198105,0.3044
198106,0.2765
198107,0.1871
198108,0.3489
198109,0.1601
198110,0.0562
198111,0.2404
198112,0.8371
198201,-0.1503
198202,0.1169
198203,-0.1725
198204,0.2757
198205,0.1100
198206,-0.0581
198207,0.1672
198208,0.0955
198209,0.2015
198210,-0.0666
198211,-0.1852
198212,0.7201
198301,0.8632
198302,0.8221
198303,0.6415
198304,0.2528
198305,0.2662
198306,0.1460
198307,0.3224
198308,0.4920
198309,0.4782
198310,0.2242
198311,1.0002
198312,0.3494
198401,0.3697
